timestamp,model,task,q,k,v,gate,up,method_name,cpr
2026-05-07 22:26:25,qwen2.5,mcqa,1.0,1.0,0.1,1.0,1.0,eap_scaling_q1.0_k1.0_v0.1_g1.0_u1.0,0.9258
2026-05-07 22:27:23,qwen2.5,mcqa,1.0,1.0,1.0,0.1,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.1_u1.0,1.2070
2026-05-07 22:28:20,qwen2.5,mcqa,1.0,1.0,1.0,1.0,0.1,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.1,1.4172
2026-05-07 22:29:17,qwen2.5,mcqa,0.2,1.0,1.0,1.0,1.0,eap_scaling_q0.2_k1.0_v1.0_g1.0_u1.0,1.0210
2026-05-07 22:30:25,qwen2.5,mcqa,1.0,0.2,1.0,1.0,1.0,eap_scaling_q1.0_k0.2_v1.0_g1.0_u1.0,1.0906
2026-05-07 22:31:23,qwen2.5,mcqa,1.0,1.0,0.2,1.0,1.0,eap_scaling_q1.0_k1.0_v0.2_g1.0_u1.0,0.8951
2026-05-07 22:32:21,qwen2.5,mcqa,1.0,1.0,1.0,0.2,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.2_u1.0,1.2279
2026-05-07 22:33:20,qwen2.5,mcqa,1.0,1.0,1.0,1.0,0.2,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.2,0.9829
2026-05-07 22:34:17,qwen2.5,mcqa,0.5,1.0,1.0,1.0,1.0,eap_scaling_q0.5_k1.0_v1.0_g1.0_u1.0,1.0404
2026-05-07 22:35:14,qwen2.5,mcqa,1.0,0.5,1.0,1.0,1.0,eap_scaling_q1.0_k0.5_v1.0_g1.0_u1.0,0.9670
2026-05-07 22:36:11,qwen2.5,mcqa,1.0,1.0,0.5,1.0,1.0,eap_scaling_q1.0_k1.0_v0.5_g1.0_u1.0,0.7859
2026-05-07 22:37:09,qwen2.5,mcqa,1.0,1.0,1.0,0.5,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.5_u1.0,1.0426
2026-05-07 22:38:06,qwen2.5,mcqa,1.0,1.0,1.0,1.0,0.5,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.5,0.7834
2026-05-07 22:39:03,qwen2.5,mcqa,1.0,1.0,1.0,1.0,1.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u1.0,1.0069
2026-05-07 22:40:00,qwen2.5,mcqa,1.5,1.0,1.0,1.0,1.0,eap_scaling_q1.5_k1.0_v1.0_g1.0_u1.0,0.9159
2026-05-07 22:40:58,qwen2.5,mcqa,1.0,1.5,1.0,1.0,1.0,eap_scaling_q1.0_k1.5_v1.0_g1.0_u1.0,0.8698
2026-05-07 22:41:55,qwen2.5,mcqa,1.0,1.0,1.5,1.0,1.0,eap_scaling_q1.0_k1.0_v1.5_g1.0_u1.0,0.8524
2026-05-07 22:42:52,qwen2.5,mcqa,1.0,1.0,1.0,1.5,1.0,eap_scaling_q1.0_k1.0_v1.0_g1.5_u1.0,0.8561
2026-05-07 22:43:49,qwen2.5,mcqa,1.0,1.0,1.0,1.0,1.5,eap_scaling_q1.0_k1.0_v1.0_g1.0_u1.5,0.5757
2026-05-07 22:44:47,qwen2.5,mcqa,3.0,1.0,1.0,1.0,1.0,eap_scaling_q3.0_k1.0_v1.0_g1.0_u1.0,0.7749
2026-05-07 22:45:45,qwen2.5,mcqa,1.0,3.0,1.0,1.0,1.0,eap_scaling_q1.0_k3.0_v1.0_g1.0_u1.0,0.7509
2026-05-07 22:46:41,qwen2.5,mcqa,1.0,1.0,3.0,1.0,1.0,eap_scaling_q1.0_k1.0_v3.0_g1.0_u1.0,0.9774
2026-05-07 22:47:37,qwen2.5,mcqa,1.0,1.0,1.0,3.0,1.0,eap_scaling_q1.0_k1.0_v1.0_g3.0_u1.0,0.6564
2026-05-07 22:48:32,qwen2.5,mcqa,1.0,1.0,1.0,1.0,3.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u3.0,0.3649
2026-05-07 22:55:42,gemma2,ioi,0.0,1.0,1.0,1.0,1.0,eap_scaling_q0.0_k1.0_v1.0_g1.0_u1.0,1.0721
2026-05-07 23:02:52,gemma2,ioi,1.0,0.0,1.0,1.0,1.0,eap_scaling_q1.0_k0.0_v1.0_g1.0_u1.0,2.2502
2026-05-07 23:10:02,gemma2,ioi,1.0,1.0,0.0,1.0,1.0,eap_scaling_q1.0_k1.0_v0.0_g1.0_u1.0,0.7065
2026-05-07 23:17:09,gemma2,ioi,1.0,1.0,1.0,0.0,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.0_u1.0,1.7294
2026-05-07 23:24:43,gemma2,ioi,1.0,1.0,1.0,1.0,0.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.0,1.1527
2026-05-07 23:31:55,gemma2,ioi,0.05,1.0,1.0,1.0,1.0,eap_scaling_q0.05_k1.0_v1.0_g1.0_u1.0,1.1131
2026-05-07 23:39:05,gemma2,ioi,1.0,0.05,1.0,1.0,1.0,eap_scaling_q1.0_k0.05_v1.0_g1.0_u1.0,2.1752
2026-05-07 23:46:14,gemma2,ioi,1.0,1.0,0.05,1.0,1.0,eap_scaling_q1.0_k1.0_v0.05_g1.0_u1.0,0.6812
2026-05-07 23:53:20,gemma2,ioi,1.0,1.0,1.0,0.05,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.05_u1.0,1.7013
2026-05-08 00:00:53,gemma2,ioi,1.0,1.0,1.0,1.0,0.05,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.05,1.1749
2026-05-08 00:08:06,gemma2,ioi,0.1,1.0,1.0,1.0,1.0,eap_scaling_q0.1_k1.0_v1.0_g1.0_u1.0,1.0735
2026-05-08 00:15:18,gemma2,ioi,1.0,0.1,1.0,1.0,1.0,eap_scaling_q1.0_k0.1_v1.0_g1.0_u1.0,2.0875
2026-05-08 00:22:28,gemma2,ioi,1.0,1.0,0.1,1.0,1.0,eap_scaling_q1.0_k1.0_v0.1_g1.0_u1.0,0.6997
2026-05-08 00:29:37,gemma2,ioi,1.0,1.0,1.0,0.1,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.1_u1.0,1.6769
2026-05-08 00:37:09,gemma2,ioi,1.0,1.0,1.0,1.0,0.1,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.1,1.1484
2026-05-08 00:44:19,gemma2,ioi,0.2,1.0,1.0,1.0,1.0,eap_scaling_q0.2_k1.0_v1.0_g1.0_u1.0,1.1106
2026-05-08 00:51:30,gemma2,ioi,1.0,0.2,1.0,1.0,1.0,eap_scaling_q1.0_k0.2_v1.0_g1.0_u1.0,2.0070
2026-05-08 00:58:40,gemma2,ioi,1.0,1.0,0.2,1.0,1.0,eap_scaling_q1.0_k1.0_v0.2_g1.0_u1.0,0.6821
2026-05-08 01:05:48,gemma2,ioi,1.0,1.0,1.0,0.2,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.2_u1.0,1.5760
2026-05-08 01:13:13,gemma2,ioi,1.0,1.0,1.0,1.0,0.2,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.2,1.0195
2026-05-08 01:20:16,gemma2,ioi,0.5,1.0,1.0,1.0,1.0,eap_scaling_q0.5_k1.0_v1.0_g1.0_u1.0,0.9675
2026-05-08 01:27:29,gemma2,ioi,1.0,0.5,1.0,1.0,1.0,eap_scaling_q1.0_k0.5_v1.0_g1.0_u1.0,1.7819
2026-05-08 01:34:32,gemma2,ioi,1.0,1.0,0.5,1.0,1.0,eap_scaling_q1.0_k1.0_v0.5_g1.0_u1.0,0.8115
2026-05-08 01:41:36,gemma2,ioi,1.0,1.0,1.0,0.5,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.5_u1.0,1.4116
2026-05-08 01:48:52,gemma2,ioi,1.0,1.0,1.0,1.0,0.5,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.5,0.9975
2026-05-08 01:55:51,gemma2,ioi,1.0,1.0,1.0,1.0,1.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u1.0,0.8853
2026-05-08 02:03:01,gemma2,ioi,1.5,1.0,1.0,1.0,1.0,eap_scaling_q1.5_k1.0_v1.0_g1.0_u1.0,0.7518
2026-05-08 02:10:16,gemma2,ioi,1.0,1.5,1.0,1.0,1.0,eap_scaling_q1.0_k1.5_v1.0_g1.0_u1.0,0.8588
2026-05-08 02:17:27,gemma2,ioi,1.0,1.0,1.5,1.0,1.0,eap_scaling_q1.0_k1.0_v1.5_g1.0_u1.0,1.0725
2026-05-08 02:24:43,gemma2,ioi,1.0,1.0,1.0,1.5,1.0,eap_scaling_q1.0_k1.0_v1.0_g1.5_u1.0,0.9317
2026-05-08 02:31:53,gemma2,ioi,1.0,1.0,1.0,1.0,1.5,eap_scaling_q1.0_k1.0_v1.0_g1.0_u1.5,0.8836
2026-05-08 02:39:24,gemma2,ioi,3.0,1.0,1.0,1.0,1.0,eap_scaling_q3.0_k1.0_v1.0_g1.0_u1.0,0.5193
2026-05-08 02:46:44,gemma2,ioi,1.0,3.0,1.0,1.0,1.0,eap_scaling_q1.0_k3.0_v1.0_g1.0_u1.0,0.8969
2026-05-08 02:54:10,gemma2,ioi,1.0,1.0,3.0,1.0,1.0,eap_scaling_q1.0_k1.0_v3.0_g1.0_u1.0,2.0523
2026-05-08 03:00:27,gemma2,ioi,1.0,1.0,1.0,3.0,1.0,eap_scaling_q1.0_k1.0_v1.0_g3.0_u1.0,1.6508
2026-05-08 03:06:38,gemma2,ioi,1.0,1.0,1.0,1.0,3.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u3.0,1.1455
2026-05-08 03:10:23,gemma2,mcqa,0.0,1.0,1.0,1.0,1.0,eap_scaling_q0.0_k1.0_v1.0_g1.0_u1.0,1.4169
2026-05-08 03:14:11,gemma2,mcqa,1.0,0.0,1.0,1.0,1.0,eap_scaling_q1.0_k0.0_v1.0_g1.0_u1.0,1.1367
2026-05-08 03:17:53,gemma2,mcqa,1.0,1.0,0.0,1.0,1.0,eap_scaling_q1.0_k1.0_v0.0_g1.0_u1.0,0.9711
2026-05-08 03:21:36,gemma2,mcqa,1.0,1.0,1.0,0.0,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.0_u1.0,1.7946
2026-05-08 03:25:21,gemma2,mcqa,1.0,1.0,1.0,1.0,0.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.0,1.4014
2026-05-08 03:29:06,gemma2,mcqa,0.05,1.0,1.0,1.0,1.0,eap_scaling_q0.05_k1.0_v1.0_g1.0_u1.0,1.4354
2026-05-08 03:32:50,gemma2,mcqa,1.0,0.05,1.0,1.0,1.0,eap_scaling_q1.0_k0.05_v1.0_g1.0_u1.0,1.1939
2026-05-08 03:36:31,gemma2,mcqa,1.0,1.0,0.05,1.0,1.0,eap_scaling_q1.0_k1.0_v0.05_g1.0_u1.0,1.1663
2026-05-08 03:40:14,gemma2,mcqa,1.0,1.0,1.0,0.05,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.05_u1.0,1.8193
2026-05-08 03:43:58,gemma2,mcqa,1.0,1.0,1.0,1.0,0.05,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.05,1.4451
2026-05-08 03:47:46,gemma2,mcqa,0.1,1.0,1.0,1.0,1.0,eap_scaling_q0.1_k1.0_v1.0_g1.0_u1.0,1.3673
2026-05-08 03:51:30,gemma2,mcqa,1.0,0.1,1.0,1.0,1.0,eap_scaling_q1.0_k0.1_v1.0_g1.0_u1.0,1.1871
2026-05-08 03:55:10,gemma2,mcqa,1.0,1.0,0.1,1.0,1.0,eap_scaling_q1.0_k1.0_v0.1_g1.0_u1.0,1.2654
2026-05-08 03:58:53,gemma2,mcqa,1.0,1.0,1.0,0.1,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.1_u1.0,1.8245
2026-05-08 04:02:36,gemma2,mcqa,1.0,1.0,1.0,1.0,0.1,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.1,1.4757
2026-05-08 04:06:22,gemma2,mcqa,0.2,1.0,1.0,1.0,1.0,eap_scaling_q0.2_k1.0_v1.0_g1.0_u1.0,1.4344
2026-05-08 04:10:08,gemma2,mcqa,1.0,0.2,1.0,1.0,1.0,eap_scaling_q1.0_k0.2_v1.0_g1.0_u1.0,1.1988
2026-05-08 04:13:50,gemma2,mcqa,1.0,1.0,0.2,1.0,1.0,eap_scaling_q1.0_k1.0_v0.2_g1.0_u1.0,1.2634
2026-05-08 04:17:35,gemma2,mcqa,1.0,1.0,1.0,0.2,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.2_u1.0,1.8954
2026-05-08 04:21:19,gemma2,mcqa,1.0,1.0,1.0,1.0,0.2,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.2,1.4192
2026-05-08 04:25:05,gemma2,mcqa,0.5,1.0,1.0,1.0,1.0,eap_scaling_q0.5_k1.0_v1.0_g1.0_u1.0,1.4681
