timestamp,model,task,q,k,v,gate,up,method_name,cpr
2026-05-07 10:56:05,qwen2.5,mcqa,1.5,1.0,1.0,1.0,1.0,eap_frnorm_q1.5_k1.0_v1.0_g1.0_u1.0,1.2301
2026-05-07 10:57:02,qwen2.5,mcqa,1.0,1.5,1.0,1.0,1.0,eap_frnorm_q1.0_k1.5_v1.0_g1.0_u1.0,1.1124
2026-05-07 10:57:59,qwen2.5,mcqa,1.0,1.0,1.5,1.0,1.0,eap_frnorm_q1.0_k1.0_v1.5_g1.0_u1.0,0.9826
2026-05-07 10:58:56,qwen2.5,mcqa,1.0,1.0,1.0,1.5,1.0,eap_frnorm_q1.0_k1.0_v1.0_g1.5_u1.0,1.0312
2026-05-07 10:59:53,qwen2.5,mcqa,1.0,1.0,1.0,1.0,1.5,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u1.5,0.8494
2026-05-07 11:00:50,qwen2.5,mcqa,3.0,1.0,1.0,1.0,1.0,eap_frnorm_q3.0_k1.0_v1.0_g1.0_u1.0,0.8098
2026-05-07 11:01:46,qwen2.5,mcqa,1.0,3.0,1.0,1.0,1.0,eap_frnorm_q1.0_k3.0_v1.0_g1.0_u1.0,1.0768
2026-05-07 11:02:42,qwen2.5,mcqa,1.0,1.0,3.0,1.0,1.0,eap_frnorm_q1.0_k1.0_v3.0_g1.0_u1.0,0.2122
2026-05-07 11:03:38,qwen2.5,mcqa,1.0,1.0,1.0,3.0,1.0,eap_frnorm_q1.0_k1.0_v1.0_g3.0_u1.0,0.6899
2026-05-07 11:04:33,qwen2.5,mcqa,1.0,1.0,1.0,1.0,3.0,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u3.0,0.5728
2026-05-07 11:12:04,gemma2,ioi,0.0,1.0,1.0,1.0,1.0,eap_frnorm_q0.0_k1.0_v1.0_g1.0_u1.0,1.9538
2026-05-07 11:19:20,gemma2,ioi,1.0,0.0,1.0,1.0,1.0,eap_frnorm_q1.0_k0.0_v1.0_g1.0_u1.0,2.2938
2026-05-07 11:26:42,gemma2,ioi,1.0,1.0,0.0,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.0_g1.0_u1.0,0.9247
2026-05-07 11:34:07,gemma2,ioi,1.0,1.0,1.0,0.0,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.0_u1.0,2.5081
2026-05-07 11:41:45,gemma2,ioi,1.0,1.0,1.0,1.0,0.0,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.0,2.2496
2026-05-07 11:51:06,gemma2,ioi,0.05,1.0,1.0,1.0,1.0,eap_frnorm_q0.05_k1.0_v1.0_g1.0_u1.0,2.0609
